symbol,NOVA_BB_P,NOVA_BB_STD,NOVA_PCT,NOVA_LOOKBACK,NOVA_DURATION,net,trades,win_pct,pf
BTCUSDT,20,2.0,5,50,3,-2.3853166791565625,56,19.64,0.22756031288919734
BTCUSDT,20,2.0,5,50,6,-0.3050561204061445,12,25.0,0.38584059661654363
BTCUSDT,20,2.0,5,120,3,-5.828521360705812,125,15.2,0.1791842553350085
BTCUSDT,20,2.0,5,120,6,-2.2092367334106147,54,20.37,0.2562845221830444
BTCUSDT,20,2.0,12,50,3,-10.835993224619097,249,21.29,0.2473230414257854
BTCUSDT,20,2.0,12,50,6,-4.596716716185962,131,25.19,0.3318404218523995
BTCUSDT,20,2.0,12,120,3,-16.617127400835518,405,19.75,0.2437413030224096
BTCUSDT,20,2.0,12,120,6,-12.354863653927673,304,19.41,0.24406509981857946
BTCUSDT,20,2.0,15,50,3,-14.873187755649411,372,23.12,0.281417545361986
BTCUSDT,20,2.0,15,50,6,-8.940195103616507,244,24.18,0.31372922137336723
BTCUSDT,20,2.0,15,120,3,-20.09930304219362,494,19.84,0.25887638583557426
BTCUSDT,20,2.0,15,120,6,-14.736662181364407,389,20.82,0.2862290963314247
BTCUSDT,20,2.0,20,50,3,-19.88655701073183,521,23.99,0.3094650385540382
BTCUSDT,20,2.0,20,50,6,-14.153588413346336,395,24.81,0.33650807399765786
BTCUSDT,20,2.0,20,120,3,-25.053683640858495,662,22.21,0.29444014831998433
BTCUSDT,20,2.0,20,120,6,-20.10408051770706,561,23.17,0.31779832988436296
BTCUSDT,20,2.5,5,50,3,-0.499278944761804,13,15.38,0.20375891882604194
BTCUSDT,20,2.5,5,50,6,-0.10775933106798977,3,0.0,0.0
BTCUSDT,20,2.5,5,120,3,-2.062173040731635,50,18.0,0.23501688119879952
BTCUSDT,20,2.5,5,120,6,-0.516000008311543,20,25.0,0.4228223252948475
BTCUSDT,20,2.5,12,50,3,-3.8462790605107955,88,19.32,0.22933858462459558
BTCUSDT,20,2.5,12,50,6,-1.4921483945345897,51,27.45,0.38973953560951224
BTCUSDT,20,2.5,12,120,3,-6.496900893733949,172,22.67,0.2930494066874613
BTCUSDT,20,2.5,12,120,6,-4.572520455256388,136,24.26,0.33561706250200857
BTCUSDT,20,2.5,15,50,3,-5.199198716062504,143,24.48,0.31919155070026967
BTCUSDT,20,2.5,15,50,6,-2.848209719460287,102,29.41,0.42650382986960517
BTCUSDT,20,2.5,15,120,3,-8.302055685266106,204,21.08,0.26208685695834427
BTCUSDT,20,2.5,15,120,6,-6.078669208049964,166,22.89,0.3019379147712221
BTCUSDT,20,2.5,20,50,3,-7.54125247599321,202,24.26,0.30643777535666566
BTCUSDT,20,2.5,20,50,6,-4.903945664180409,160,27.5,0.3805408033538861
BTCUSDT,20,2.5,20,120,3,-9.804099131031354,266,23.68,0.30942262318964164
BTCUSDT,20,2.5,20,120,6,-7.739737602446988,228,25.0,0.3412596883078123
BTCUSDT,35,2.0,5,50,3,-4.5158492414068645,119,26.89,0.3448382825232324
BTCUSDT,35,2.0,5,50,6,-1.4428123597062634,52,28.85,0.4722081119534613
BTCUSDT,35,2.0,5,120,3,-8.59078429749487,194,19.59,0.23431873415027243
BTCUSDT,35,2.0,5,120,6,-5.645865426259833,122,17.21,0.19502878711521235
BTCUSDT,35,2.0,12,50,3,-17.063682026652277,391,22.76,0.2634967945281367
BTCUSDT,35,2.0,12,50,6,-13.183957502707749,286,20.63,0.23937573405124796
BTCUSDT,35,2.0,12,120,3,-23.857530215452368,527,18.41,0.21335710383617396
BTCUSDT,35,2.0,12,120,6,-20.83617965270649,451,17.29,0.20146960246570003
BTCUSDT,35,2.0,15,50,3,-24.361181073625353,548,22.63,0.25751897141083624
BTCUSDT,35,2.0,15,50,6,-20.27905009252568,443,21.44,0.24152637807648816
BTCUSDT,35,2.0,15,120,3,-29.151494845628743,634,17.82,0.20463443336371015
