القياس,الفترة,cost,net,trades,per,gross,move,cost_per,costs,median_hold,id,label,reject,order,sig_in,sig_out,cool_blocked,parts,seed
حجم k=1.2,اختيار,0.001,83.29,1018,0.08182,124.09,0.12189506,0.04008181,40.8,26.0,vol_k1.2,حجم k=1.2,0.0221,0.0,14139.0,5230.0,0.0,"[('vol', 1.2)]",
حجم k=1.5,اختيار,0.001,89.8,954,0.09413,128.05,0.13422336,0.04009413,38.25,23.0,vol_k1.5,حجم k=1.5,0.0836,1.0,14139.0,3628.0,0.0,"[('vol', 1.5)]",
حجم k=1.8,اختيار,0.001,106.03,884,0.11994,141.49,0.1600595,0.04011994,35.47,21.0,vol_k1.8,حجم k=1.8,0.1508,2.0,14139.0,2435.0,0.0,"[('vol', 1.8)]",
شمعة التأكيد,اختيار,0.001,20.64,921,0.02241,57.5,0.06243163,0.04002241,36.86,29.0,confirm,شمعة التأكيد,0.1153,3.0,14139.0,6988.0,0.0,"[('confirm',)]",
منطقة m=0.3,اختيار,0.001,32.46,1042,0.03115,74.18,0.07118705,0.04003116,41.71,29.0,zone_m0.3,منطقة m=0.3,-0.001,4.0,14139.0,14130.0,0.0,"[('zone', 0.3)]",
منطقة m=0.6,اختيار,0.001,34.56,1041,0.0332,76.23,0.07323107,0.0400332,41.67,29.0,zone_m0.6,منطقة m=0.6,0.0,5.0,14139.0,14139.0,0.0,"[('zone', 0.6)]",
منطقة m=1.0,اختيار,0.001,34.56,1041,0.0332,76.23,0.07323107,0.0400332,41.67,29.0,zone_m1.0,منطقة m=1.0,0.0,6.0,14139.0,14139.0,0.0,"[('zone', 1.0)]",
تقلب v=0.005,اختيار,0.001,34.65,1040,0.03332,76.28,0.07334711,0.04003331,41.63,29.0,atr_v0.005,تقلب v=0.005,0.001,7.0,14139.0,14126.0,0.0,"[('atr', 0.005)]",
تقلب v=0.010,اختيار,0.001,35.58,1030,0.03454,76.82,0.07458332,0.04003455,41.24,29.0,atr_v0.010,تقلب v=0.010,0.0106,8.0,14139.0,13591.0,0.0,"[('atr', 0.01)]",
تقلب v=0.015,اختيار,0.001,23.42,978,0.02395,62.57,0.06397269,0.04002395,39.14,29.5,atr_v0.015,تقلب v=0.015,0.0605,9.0,14139.0,11927.0,0.0,"[('atr', 0.015)]",
جسم b=0.4,اختيار,0.001,44.98,943,0.0477,82.75,0.08774878,0.0400477,37.76,29.0,body_b0.4,جسم b=0.4,0.0941,10.0,14139.0,7950.0,0.0,"[('body', 0.4)]",
جسم b=0.6,اختيار,0.001,16.26,958,0.01697,54.59,0.05698727,0.04001697,38.34,25.0,body_b0.6,جسم b=0.6,0.0797,11.0,14139.0,4278.0,0.0,"[('body', 0.6)]",
تهدئة n=3,اختيار,0.001,32.69,929,0.03519,69.88,0.07522024,0.04003519,37.19,29.0,cool_n3,تهدئة n=3,0.1076,12.0,14139.0,14139.0,659.0,"[('cool', 3)]",
تهدئة n=6,اختيار,0.001,-10.44,919,-0.01136,26.31,0.02863353,0.03998864,36.75,29.0,cool_n6,تهدئة n=6,0.1172,13.0,14139.0,14139.0,1292.0,"[('cool', 6)]",
تهدئة n=12,اختيار,0.001,26.93,890,0.03026,62.56,0.07029587,0.04003027,35.63,27.0,cool_n12,تهدئة n=12,0.1451,14.0,14139.0,14139.0,2192.0,"[('cool', 12)]",
حجم k=1.8 + حجم k=1.5,اختيار,0.001,106.03,884,0.11994,141.49,0.1600595,0.04011994,35.47,21.0,combo_vol_k1.8+vol_k1.5,حجم k=1.8 + حجم k=1.5,0.1508,100.0,14139.0,2435.0,0.0,"[('vol', 1.8), ('vol', 1.5)]",
حجم k=1.8 + حجم k=1.2,اختيار,0.001,106.03,884,0.11994,141.49,0.1600595,0.04011994,35.47,21.0,combo_vol_k1.8+vol_k1.2,حجم k=1.8 + حجم k=1.2,0.1508,101.0,14139.0,2435.0,0.0,"[('vol', 1.8), ('vol', 1.2)]",
حجم k=1.5 + حجم k=1.2,اختيار,0.001,89.8,954,0.09413,128.05,0.13422336,0.04009413,38.25,23.0,combo_vol_k1.5+vol_k1.2,حجم k=1.5 + حجم k=1.2,0.0836,102.0,14139.0,3628.0,0.0,"[('vol', 1.5), ('vol', 1.2)]",
حجم k=1.8 + حجم k=1.5 + حجم k=1.2,اختيار,0.001,106.03,884,0.11994,141.49,0.1600595,0.04011994,35.47,21.0,combo_vol_k1.8+vol_k1.5+vol_k1.2,حجم k=1.8 + حجم k=1.5 + حجم k=1.2,0.1508,103.0,14139.0,2435.0,0.0,"[('vol', 1.8), ('vol', 1.5), ('vol', 1.2)]",
حجم k=1.8,حكم,0.001,5.01,1242,0.00403,54.69,0.04403667,0.04000403,49.69,21.0,vol_k1.8,حجم k=1.8,0.2262,200.0,21078.0,3725.0,0.0,"[('vol', 1.8)]",
حجم k=1.8,حكم,0.00075,17.86,1239,0.01441,55.04,0.04442418,0.03001081,37.18,21.0,vol_k1.8,حجم k=1.8,0.2276,201.0,21078.0,3725.0,0.0,"[('vol', 1.8)]",
عشوائي 0.100% بذرة 110053,حكم,0.001,-249.91,1242,-0.20122,-200.48,-0.16141999,0.03979878,49.43,21.0,,,,,,,,,110053.0
عشوائي 0.100% بذرة 210053,حكم,0.001,-176.86,1243,-0.14228,-127.31,-0.10242424,0.03985772,49.54,22.0,,,,,,,,,210053.0
