symbol,NOVA_BB_P,NOVA_BB_STD,NOVA_PCT,NOVA_LOOKBACK,NOVA_DURATION,net,trades,win_pct,pf
BTCUSDT,20,2.0,5,50,3,0.1290448671653035,2,100.0,inf
BTCUSDT,20,2.0,5,50,6,0.0,0,0.0,0.0
BTCUSDT,20,2.0,5,120,3,-0.24893845604777393,2,50.0,0.43136763019066343
BTCUSDT,20,2.0,5,120,6,-0.24893845604777393,2,50.0,0.43136763019066343
BTCUSDT,20,2.0,12,50,3,-0.4094873763297024,7,71.43,0.5211482238840631
BTCUSDT,20,2.0,12,50,6,0.1374545795661652,5,80.0,1.313977697784285
BTCUSDT,20,2.0,12,120,3,-0.16767455628105127,6,66.67,0.803922504756323
BTCUSDT,20,2.0,12,120,6,0.24968523116617908,5,80.0,1.570338174979157
BTCUSDT,20,2.0,15,50,3,-0.16613447874742682,8,75.0,0.8057234610371791
BTCUSDT,20,2.0,15,50,6,0.18606344153449916,6,83.33,1.4250114561421507
BTCUSDT,20,2.0,15,120,3,0.4367418175310364,9,77.78,1.5107229358407683
BTCUSDT,20,2.0,15,120,6,0.7902186049782678,7,85.71,2.8050400293717037
BTCUSDT,20,2.0,20,50,3,0.3861814693008586,13,84.62,1.4515980056217541
BTCUSDT,20,2.0,20,50,6,0.7383793895827845,11,90.91,2.6866274049528664
BTCUSDT,20,2.0,20,120,3,0.8395494366364051,12,83.33,1.9817634489098075
BTCUSDT,20,2.0,20,120,6,0.9052486050850432,10,80.0,2.058591613389388
BTCUSDT,20,2.5,5,50,3,0.0,0,0.0,0.0
BTCUSDT,20,2.5,5,50,6,0.0,0,0.0,0.0
BTCUSDT,20,2.5,5,120,3,-0.4377845322650967,1,0.0,0.0
BTCUSDT,20,2.5,5,120,6,-0.4377845322650967,1,0.0,0.0
BTCUSDT,20,2.5,12,50,3,-0.791261319712328,3,33.33,0.07470434934478597
BTCUSDT,20,2.5,12,50,6,-0.3739015322650977,2,50.0,0.14592338306122524
BTCUSDT,20,2.5,12,120,3,-0.7912613197123275,3,33.33,0.07470434934478665
BTCUSDT,20,2.5,12,120,6,-0.37390153226509715,2,50.0,0.14592338306122657
BTCUSDT,20,2.5,15,50,3,-0.5479084221300525,4,50.0,0.359279586497902
BTCUSDT,20,2.5,15,50,6,-0.13054863468282218,3,66.67,0.7017970598290358
BTCUSDT,20,2.5,15,120,3,-0.25072794590024006,5,60.0,0.7068004310844448
BTCUSDT,20,2.5,15,120,6,0.10274884154699127,3,66.67,1.2347018543925452
BTCUSDT,20,2.5,20,50,3,-0.3562594221300532,7,71.43,0.5833926345322625
BTCUSDT,20,2.5,20,50,6,0.06110036531717718,6,83.33,1.1395672090127167
BTCUSDT,20,2.5,20,120,3,0.28166184165376573,7,71.43,1.3293734579778507
BTCUSDT,20,2.5,20,120,6,0.2177788416537665,6,66.67,1.2546691086330644
BTCUSDT,35,2.0,5,50,3,-1.3731805211738846,5,40.0,0.0851236191280652
BTCUSDT,35,2.0,5,50,6,-0.612287485033245,1,0.0,0.0
BTCUSDT,35,2.0,5,120,3,0.1783858422563255,6,83.33,1.3148083739551064
BTCUSDT,35,2.0,5,120,6,0.6811518167266307,4,100.0,inf
BTCUSDT,35,2.0,12,50,3,-0.6920287044472534,9,66.67,0.5389384667043166
BTCUSDT,35,2.0,12,50,6,0.13274733169338587,6,83.33,1.2168055610122068
BTCUSDT,35,2.0,12,120,3,1.8921318745963176,12,91.67,4.33916050296403
BTCUSDT,35,2.0,12,120,6,2.3948978490666226,10,100.0,inf
BTCUSDT,35,2.0,15,50,3,-0.4122444490434592,11,72.73,0.7253436793197372
BTCUSDT,35,2.0,15,50,6,0.19663033169338529,7,85.71,1.3211405369206737
BTCUSDT,35,2.0,15,120,3,2.3063416088840025,14,92.86,5.07014167993498
BTCUSDT,35,2.0,15,120,6,2.809107583354308,12,100.0,inf
BTCUSDT,35,2.0,20,50,3,-0.23254757472767934,12,75.0,0.8450660490249813
BTCUSDT,35,2.0,20,50,6,0.6085090727210553,9,88.89,1.9938290224697557
BTCUSDT,35,2.0,20,120,3,2.421742683313699,18,88.89,3.725165203778373
BTCUSDT,35,2.0,20,120,6,3.246518719454339,15,100.0,inf
BTCUSDT,35,2.5,5,50,3,0.06388299999999984,1,100.0,inf
BTCUSDT,35,2.5,5,50,6,0.0,0,0.0,0.0
BTCUSDT,35,2.5,5,120,3,0.6172688167266311,3,100.0,inf
BTCUSDT,35,2.5,5,120,6,0.6172688167266311,3,100.0,inf
BTCUSDT,35,2.5,12,50,3,0.6172688167266311,3,100.0,inf
BTCUSDT,35,2.5,12,50,6,0.6172688167266311,3,100.0,inf
BTCUSDT,35,2.5,12,120,3,1.9994066306615768,7,100.0,inf
BTCUSDT,35,2.5,12,120,6,1.9994066306615768,7,100.0,inf
BTCUSDT,35,2.5,15,50,3,0.8331700721304259,4,100.0,inf
BTCUSDT,35,2.5,15,50,6,0.6172688167266311,3,100.0,inf
BTCUSDT,35,2.5,15,120,3,1.9994066306615768,7,100.0,inf
BTCUSDT,35,2.5,15,120,6,1.9994066306615768,7,100.0,inf
BTCUSDT,35,2.5,20,50,3,1.0128669464462057,5,100.0,inf
BTCUSDT,35,2.5,20,50,6,1.029147557754301,5,100.0,inf
BTCUSDT,35,2.5,20,120,3,2.6080852672849173,9,100.0,inf
BTCUSDT,35,2.5,20,120,6,2.6080852672849173,9,100.0,inf
