NOVA_AT_TRAIL,NOVA_AT_STOP,NOVA_AT_PB,NOVA_AT_TRIG,NOVA_AT_V3A,NOVA_AT_V3B,NOVA_AT_V3C,net,trades,win_pct
3.0,0.5,288,6,0,0,0,-98.59031619937323,68,19.11764705882353
3.0,0.5,288,6,0,0,1,-52.41685808981997,64,21.875
3.0,0.5,288,6,0,1,0,-98.59031619937323,68,19.11764705882353
3.0,0.5,288,6,0,1,1,-52.41685808981997,64,21.875
3.0,0.5,288,6,1,0,0,0.0,0,0.0
3.0,0.5,288,6,1,0,1,0.0,0,0.0
3.0,0.5,288,6,1,1,0,0.0,0,0.0
3.0,0.5,288,6,1,1,1,0.0,0,0.0
3.0,0.5,288,12,0,0,0,-91.3051043607644,66,19.696969696969695
3.0,0.5,288,12,0,0,1,-39.545312958835886,62,20.967741935483872
3.0,0.5,288,12,0,1,0,-91.3051043607644,66,19.696969696969695
3.0,0.5,288,12,0,1,1,-39.545312958835886,62,20.967741935483872
3.0,0.5,288,12,1,0,0,0.0,0,0.0
3.0,0.5,288,12,1,0,1,0.0,0,0.0
3.0,0.5,288,12,1,1,0,0.0,0,0.0
3.0,0.5,288,12,1,1,1,0.0,0,0.0
3.0,0.5,288,24,0,0,0,-41.84113499219386,64,20.3125
3.0,0.5,288,24,0,0,1,-4.738331363781827,61,21.311475409836067
3.0,0.5,288,24,0,1,0,-41.84113499219386,64,20.3125
3.0,0.5,288,24,0,1,1,-4.738331363781827,61,21.311475409836067
3.0,0.5,288,24,1,0,0,0.0,0,0.0
3.0,0.5,288,24,1,0,1,0.0,0,0.0
3.0,0.5,288,24,1,1,0,0.0,0,0.0
3.0,0.5,288,24,1,1,1,0.0,0,0.0
3.0,0.5,576,6,0,0,0,-15.249600747929597,50,26.0
3.0,0.5,576,6,0,0,1,11.540742975873082,48,27.083333333333332
3.0,0.5,576,6,0,1,0,-15.249600747929597,50,26.0
3.0,0.5,576,6,0,1,1,11.540742975873082,48,27.083333333333332
3.0,0.5,576,6,1,0,0,0.0,0,0.0
3.0,0.5,576,6,1,0,1,0.0,0,0.0
3.0,0.5,576,6,1,1,0,0.0,0,0.0
3.0,0.5,576,6,1,1,1,0.0,0,0.0
3.0,0.5,576,12,0,0,0,-23.84552211790299,50,26.0
3.0,0.5,576,12,0,0,1,19.53644455609536,47,27.659574468085108
3.0,0.5,576,12,0,1,0,-23.84552211790299,50,26.0
3.0,0.5,576,12,0,1,1,19.53644455609536,47,27.659574468085108
3.0,0.5,576,12,1,0,0,0.0,0,0.0
3.0,0.5,576,12,1,0,1,0.0,0,0.0
3.0,0.5,576,12,1,1,0,0.0,0,0.0
3.0,0.5,576,12,1,1,1,0.0,0,0.0
3.0,0.5,576,24,0,0,0,1.8828247975023804,50,26.0
3.0,0.5,576,24,0,0,1,18.482226480430892,48,27.083333333333332
3.0,0.5,576,24,0,1,0,1.8828247975023804,50,26.0
3.0,0.5,576,24,0,1,1,18.482226480430892,48,27.083333333333332
3.0,0.5,576,24,1,0,0,0.0,0,0.0
3.0,0.5,576,24,1,0,1,0.0,0,0.0
3.0,0.5,576,24,1,1,0,0.0,0,0.0
3.0,0.5,576,24,1,1,1,0.0,0,0.0
3.0,0.5,864,6,0,0,0,140.9601705417422,47,31.91489361702128
3.0,0.5,864,6,0,0,1,137.17913946214392,45,28.88888888888889
3.0,0.5,864,6,0,1,0,140.9601705417422,47,31.91489361702128
3.0,0.5,864,6,0,1,1,137.17913946214392,45,28.88888888888889
3.0,0.5,864,6,1,0,0,0.0,0,0.0
3.0,0.5,864,6,1,0,1,0.0,0,0.0
3.0,0.5,864,6,1,1,0,0.0,0,0.0
3.0,0.5,864,6,1,1,1,0.0,0,0.0
3.0,0.5,864,12,0,0,0,142.4774494582046,47,31.91489361702128
3.0,0.5,864,12,0,0,1,137.77345731423338,45,28.88888888888889
3.0,0.5,864,12,0,1,0,142.4774494582046,47,31.91489361702128
3.0,0.5,864,12,0,1,1,137.77345731423338,45,28.88888888888889
3.0,0.5,864,12,1,0,0,0.0,0,0.0
3.0,0.5,864,12,1,0,1,0.0,0,0.0
3.0,0.5,864,12,1,1,0,0.0,0,0.0
3.0,0.5,864,12,1,1,1,0.0,0,0.0
3.0,0.5,864,24,0,0,0,134.47115968879422,47,31.91489361702128
3.0,0.5,864,24,0,0,1,131.77650839200317,44,29.545454545454547
3.0,0.5,864,24,0,1,0,134.47115968879422,47,31.91489361702128
3.0,0.5,864,24,0,1,1,131.77650839200317,44,29.545454545454547
3.0,0.5,864,24,1,0,0,0.0,0,0.0
3.0,0.5,864,24,1,0,1,0.0,0,0.0
3.0,0.5,864,24,1,1,0,0.0,0,0.0
3.0,0.5,864,24,1,1,1,0.0,0,0.0
3.0,0.5,1440,6,0,0,0,187.29253953914264,41,31.70731707317073
3.0,0.5,1440,6,0,0,1,164.60065330421662,39,30.76923076923077
3.0,0.5,1440,6,0,1,0,187.29253953914264,41,31.70731707317073
3.0,0.5,1440,6,0,1,1,164.60065330421662,39,30.76923076923077
3.0,0.5,1440,6,1,0,0,0.0,0,0.0
3.0,0.5,1440,6,1,0,1,0.0,0,0.0
