time,equity,cash,event
2025-01-03 12:00:00+00:00,200.03,210.03194200000002,exit
2025-01-03 12:00:00+00:00,200.32,220.31578000000002,exit
2025-01-03 12:00:00+00:00,200.76,230.7632,exit
2025-01-03 16:00:00+00:00,200.9,240.89784300000002,exit
2025-01-03 16:00:00+00:00,201.03,251.03248600000003,exit
2025-01-03 16:00:00+00:00,201.19,261.19273300000003,exit
2025-01-03 16:00:00+00:00,201.48,271.47623600000003,exit
2025-01-03 16:00:00+00:00,201.81,281.808017,exit
2025-01-03 20:00:00+00:00,202.29,292.287858,exit
2025-01-03 20:00:00+00:00,202.34,302.37531540376006,exit
2025-01-03 20:00:00+00:00,202.39,312.4701026719521,exit
2025-01-03 20:00:00+00:00,202.5,322.61398959215205,exit
2025-01-03 20:00:00+00:00,202.67,332.8239416585761,exit
2025-01-03 20:00:00+00:00,202.9,343.08874725032007,exit
2025-01-03 20:00:00+00:00,203.32,353.5499102936401,exit
2025-01-04 00:00:00+00:00,203.36,363.6754993985243,exit
2025-01-04 00:00:00+00:00,203.39,373.80108850340855,exit
2025-01-04 08:00:00+00:00,203.42,384.0031374554261,exit
2025-01-04 08:00:00+00:00,203.46,394.20518640744365,exit
2025-01-04 08:00:00+00:00,203.51,404.4301138328567,exit
2025-01-04 16:00:00+00:00,203.58,414.58627483423624,exit
2025-01-05 00:00:00+00:00,203.62,424.8078916647725,exit
2025-01-05 04:00:00+00:00,203.65,435.0192756766311,exit
2025-01-05 08:00:00+00:00,203.69,445.23065968848965,exit
2025-01-05 08:00:00+00:00,203.72,455.44418783570615,exit
2025-01-05 08:00:00+00:00,203.76,465.6681342083799,exit
2025-01-05 16:00:00+00:00,203.81,475.9023538877786,exit
2025-01-05 20:00:00+00:00,204.18,486.46201293727785,exit
2025-01-06 00:00:00+00:00,204.21,496.6849035148733,exit
2025-01-06 00:00:00+00:00,204.31,506.9770262543158,exit
2025-01-06 00:00:00+00:00,204.69,517.542907425872,exit
2025-01-06 04:00:00+00:00,204.79,527.8515735930393,exit
2025-01-06 04:00:00+00:00,205.43,538.6986205834787,exit
2025-01-06 08:00:00+00:00,205.47,548.9816607274333,exit
2025-01-06 08:00:00+00:00,205.62,559.3592290118742,exit
2025-01-06 12:00:00+00:00,205.65,569.6633463970401,exit
2025-01-06 12:00:00+00:00,205.98,580.2637736085521,exit
2025-01-06 16:00:00+00:00,206.1,590.6149637080824,exit
2025-01-06 16:00:00+00:00,206.15,600.9525902230496,exit
2025-01-06 16:00:00+00:00,206.21,611.2902167380167,exit
2025-01-06 20:00:00+00:00,206.24,621.6221075805823,exit
2025-01-06 20:00:00+00:00,206.28,631.957662805506,exit
2025-01-06 20:00:00+00:00,206.32,642.2948463015111,exit
2025-01-06 20:00:00+00:00,206.37,652.6493836037935,exit
2025-01-06 20:00:00+00:00,206.43,663.0062587779006,exit
2025-01-06 20:00:00+00:00,206.51,673.3867649956296,exit
2025-01-06 20:00:00+00:00,206.61,683.7805507372836,exit
2025-01-06 20:00:00+00:00,206.74,694.2134767788638,exit
2025-01-07 00:00:00+00:00,206.77,704.5569158678566,exit
2025-01-07 12:00:00+00:00,206.12,714.2380862458597,exit
2025-01-07 12:00:00+00:00,206.3,724.7567651539409,exit
2025-01-07 12:00:00+00:00,206.52,735.3179217188504,exit
2025-01-08 00:00:00+00:00,206.59,745.712208171158,exit
2025-01-08 08:00:00+00:00,206.7,756.1535141952288,exit
2025-01-08 12:00:00+00:00,206.73,766.515884153998,exit
2025-01-08 12:00:00+00:00,206.82,776.9306509100098,exit
2025-01-08 12:00:00+00:00,206.93,787.3760194780139,exit
2025-01-08 12:00:00+00:00,207.06,797.8305636315147,exit
2025-01-08 12:00:00+00:00,207.18,808.2851077850155,exit
2025-01-08 12:00:00+00:00,207.31,818.7419130391189,exit
2025-01-08 12:00:00+00:00,207.46,829.2207549858922,exit
2025-01-08 12:00:00+00:00,207.63,839.7180235081104,exit
2025-01-08 16:00:00+00:00,206.94,849.3592252942543,exit
2025-01-08 16:00:00+00:00,206.26,859.0077330486769,exit
2025-01-08 16:00:00+00:00,206.38,869.4648502836703,exit
2025-01-08 16:00:00+00:00,206.55,879.9679405806274,exit
2025-01-08 16:00:00+00:00,205.94,889.7403744857515,exit
2025-01-08 16:00:00+00:00,205.43,899.6155795359423,exit
2025-01-09 00:00:00+00:00,205.87,910.3250056917072,exit
2025-01-09 04:00:00+00:00,205.92,920.6417162901964,exit
2025-01-09 04:00:00+00:00,205.98,930.971955805382,exit
2025-01-09 04:00:00+00:00,206.1,941.3690664415736,exit
2025-01-09 04:00:00+00:00,206.23,951.7667933825271,exit
2025-01-09 04:00:00+00:00,206.42,962.2270732024556,exit
2025-01-09 04:00:00+00:00,206.45,972.6416816835094,exit
2025-01-09 04:00:00+00:00,206.51,983.084193420658,exit
2025-01-09 12:00:00+00:00,205.64,992.6003716618775,exit
2025-01-09 12:00:00+00:00,204.89,1002.2311631659652,exit
2025-01-09 12:00:00+00:00,204.39,1012.1102861746537,exit
2025-01-09 12:00:00+00:00,203.89,1021.9894091833421,exit
2025-01-09 16:00:00+00:00,203.94,1032.3696600391247,exit
2025-01-09 16:00:00+00:00,204.0,1042.751896490117,exit
2025-01-09 16:00:00+00:00,204.06,1053.134132941109,exit
2025-01-09 16:00:00+00:00,204.12,1063.5230324424842,exit
2025-01-09 16:00:00+00:00,204.27,1073.994742518897,exit
2025-01-09 16:00:00+00:00,204.42,1084.4729597305204,exit
2025-01-09 16:00:00+00:00,204.62,1095.0023470626818,exit
2025-01-09 16:00:00+00:00,204.83,1105.5320513879421,exit
